"","uniprot","reaction","entrez"
"257","A0A2C9ETQ7","ID	3.4.21.53",57478307
"258","A0A2C9EU40","ID	1.7.2.1",57478449
"259","A0A2D1CFJ9","ID	4.2.1.1",101075727
"260","A0A2H1ZE58","ID	3.6.1.71",830940
"261","A0A2K5WDQ7","ID	2.3.1.43",102126888
"262","A0A2N5WD20","ID	7.5.2.6",60356385
"263","A0A2R8QKI3","ID	3.1.3.56",566188
"264","A0A2Z5U3T3","ID	3.2.1.28",33346348
"265","A0A2Z5U3T3","ID	3.2.1.28",3474304
"266","A0A384BN88","ID	2.3.1.135",103658037
"267","A0A384J5R9","ID	3.1.1.11",5442055
"268","A0A384JIP4","ID	4.1.99.3",5428921
"269","A0A384JX50","ID	2.1.1.355",5430914
"270","A0A3A1Q8E8","ID	2.7.1.180",57822232
"271","A0A3G0ZGD9","ID	1.21.99.3",798872
"272","A0A3G1ZIV1","ID	3.2.1.73",56460035
"273","A0A3L6FRY7","ID	3.1.2.14",103646099
"274","A0A3Q7FJ72","ID	2.7.1.182 ()",101262393
"275","A0A3Q7HBJ5","ID	1.14.14.126",101251676
"276","A0A3Q7HS74","ID	1.14.14.64",101250025
"277","A0A3Q7I0S2","ID	2.3.1.198",101251501
"278","A0A3Q7IRE2","ID	4.2.2.23",101259106
"279","A0A3S5YA89","ID	1.1.3.6",57579136
"280","A0A3S5YB92","ID	4.1.3.1",57579472
"281","A0A3S7WWI2","ID	3.4.11.18",13386420
"282","A0A4Q0VE60","ID	5.3.1.13",24253546
"283","A0A4S2CHH9","ID	3.5.1.24",61320282
"284","A0A4Y1K7V2","ID	2.3.1.5",102119914
"285","A0AQW5","ID	4.6.1.19",101246171
"286","A0AVT1","ID	6.2.1.45",55236
"287","A0FK57","ID	1.14.11.13",100037505
"288","A0M8U4","ID	5.6.1.6",100049619
"289","A0NAB2","ID	2.7.4.9",836063
"290","A0PFJ3","ID	1.4.3.3",100037820
"291","A0PU93","ID	2.7.8.7",34341647
"292","A0QPJ5","ID	1.3.5.1",45742010
"293","A0QQJ4","ID	1.1.98.2 ()",45742398
"294","A0QRH1","ID	2.1.1.163",45742660
"295","A0QT10","ID	1.3.5.1",45743275
"296","A0QTU8","ID	1.14.13.222",45743558
"297","A0QUZ2","ID	3.6.1.69",45743943
"298","A0QV14","ID	6.4.1.1",45743965
"299","A0QV34","ID	3.4.17.8",45743985
"300","A0QV35","ID	3.4.17.8",45743986
"301","A0QVM0","ID	6.1.1.15",45744168
"302","A0QVQ5","ID	2.7.7.8",45744200
"303","A0QW08","ID	3.6.1.23",45744300
"304","A0QX86","ID	3.1.3.11|ID	3.1.3.25",45744725
"305","A0QYC2","ID	1.1.1.403",45745091
"306","A0QYR0","ID	2.1.1.226|ID	2.1.1.227",45745236
"307","A0QZ42","ID	6.3.1.19",45745370
"308","A0QZY0","ID	6.3.1.13",45745572
"309","A0R0P0","ID	3.5.2.6",45745822
"310","A0R1X0","ID	5.1.1.3",45746242
"311","A0R211","ID	2.7.8.35",45746281
"312","A0R3Q8","ID	3.1.26.4",45746867
"313","A0R420","ID	1.4.3.5",45746980
"314","A0R577","ID	6.1.1.6",45747378
"315","A0R578","ID	6.1.1.16",45747379
"316","A0R610","ID	1.1.1.333",45747664
"317","A0R6E0","ID	5.4.99.16",45747772
"318","A0R723","ID	1.1.1.100",45747985
"319","A0S5U0","ID	1.11.1.6",100197141
"320","A0SXL5","ID	2.7.7.7",33333155
"321","A0SZ82","ID	1.14.13.8",100136696
"322","A1A442","ID	2.3.1.20",8258757
"323","A1BNG5","ID	6.3.2.52",109219431
"324","A1C4B8","ID	4.2.2.2",4708969
"325","A1CIA7","ID	3.4.21.63",4703741
"326","A1CII2","ID	6.3.4.18",4703659
"327","A1CZ35","ID	3.4.21.63",4593159
"328","A1D5E3","ID	4.2.2.2",4590823
"329","A1DJ20","ID	2.5.1.107",4587832
"330","A1ED58","ID	2.7.11.24",100137046
"331","A1ED58","ID	2.7.11.24",106572737
"332","A1ED59","ID	2.7.11.24",100137046
"333","A1ED59","ID	2.7.11.24",106572737
"334","A1IGX9","ID	2.8.2.11",611960
"335","A1KUS8","ID	3.1.2.1",61281659
"336","A1KXK8","ID	2.7.1.159",4332146
"337","A1KZ92","ID	1.11.1.7",137902
"338","A1L1S9","ID	1.14.11.68",569207
"339","A1L1V4","ID	1.4.3.13",791144
"340","A1L361","ID	2.7.11.10",56480
"341","A1L3X0","ID	2.3.1.199",79993
"342","A1RRM7","ID	2.4.99.18",4617670
"343","A1RUM9","ID	1.1.1.22",4617134
"344","A1RWP0","ID	3.2.1.41",4602221
"345","A1RX09","ID	2.7.1.40",4600981
"346","A1RXW3","ID	2.4.99.18",4601437
"347","A1S0B1","ID	3.2.1.21",4601403
"348","A1UQV9","ID	6.2.1.4",4685108
"349","A1XCI0","ID	1.13.11.58 ()",100037804
"350","A1XCQ0","ID	2.4.1.152",100036592
"351","A1XRK1","ID	1.14.15.4",791124
"352","A1Y9J6","ID	1.14.16.4",100049066
"353","A1YVX4","ID	1.14.11.67",100037295
"354","A1YZ22","ID	3.4.23.5",101895159
"355","A1Z1Q3","ID	3.1.1.106",140733
"356","A1Z1R8","ID	4.4.1.21",61711876
"357","A1Z7M3","ID	3.4.21.109",35904
"358","A1Z9E0","ID	2.7.8.1",36496
"359","A1ZA98","ID	3.1.1.59",36780
"360","A1ZB72","ID	2.5.1.18",37112
"361","A2A5Z6","ID	2.3.2.26 ()",66313
"362","A2A935","ID	2.1.1.367",70673
"363","A2ADU9","ID	2.3.1.75",245533
"364","A2AMS3","ID	2.7.7.12",14430
"365","A2AWA9","ID	2.3.1.23",227800
"366","A2BD60","ID	1.13.11.52",100037099
"367","A2BHM7","ID	2.3.1.22",494083
"368","A2BJU2","ID	2.5.1.23",4782683
"369","A2BLE9","ID	4.1.2.4",4781378
"370","A2BLY3","ID	6.3.4.14",4782861
"371","A2BM28","ID	2.4.99.18",4782251
"372","A2DJ40","ID	1.1.1.80",5465143
"373","A2EGX9","ID	5.3.1.1",4766009
"374","A2F8Y2","ID	3.4.11.9|ID	3.4.13.9",4756464
"375","A2FEX8","ID	4.1.1.44",4754305
"376","A2FT29","ID	5.3.1.1",4749642
"377","A2GH85","ID	1.5.1.30",4741114
"378","A2GMG5","ID	2.5.1.47",4739278
"379","A2IBN7","ID	4.4.1.14",107923295
"380","A2ICG5","ID	3.4.23.5",101891831
"381","A2ICG6","ID	3.4.23.5",101894200
"382","A2QAC0","ID	1.1.1.12",4977395
"383","A2QIR3","ID	3.1.1.20",4990850
"384","A2QJF7","ID	3.2.1.20",4991096
"385","A2QKT4","ID	3.2.1.78",4980871
"386","A2QL72","ID	3.2.1.49",4981013
"387","A2QV36","ID	4.2.2.2",4990338
"388","A2QZI3","ID	3.1.1.72",4985851
"389","A2R1N3","ID	2.5.1.122|ID	2.5.1.80",4986632
"390","A2R3C7","ID	5.1.3.2",4987239
"391","A2R3L3","ID	3.4.23.18",4987328
"392","A2R6M7","ID	3.5.5.5",4988449
"393","A2RIB7","ID	1.6.3.4",61108710
"394","A2RM60","ID	3.1.4.59",61109010
"395","A2RNG5","ID	2.7.2.1",61110338
"396","A2RTH5","ID	2.1.1.233",30949
"397","A2RU49","ID	2.7.1.81",123688
"398","A2RUC4","ID	1.14.11.42",129450
"399","A2T1M5","ID	2.7.4.3",588348
"400","A2TEF2","ID	1.14.13.70 (transferred to EC 1.14.14.154)|ID	1.14.14.154",5067288
"401","A2TLS9","ID	3.2.1.26",56592927
"402","A2VDQ5","ID	3.4.24.16",538650
"403","A3A871","ID	1.14.14.76",4329725
"404","A3CRV9","ID	2.4.99.18",4846073
"405","A3CXQ8","ID	2.4.99.18",4848277
"406","A3DBX3","ID	3.2.1.73",57419464
"407","A3DC29","ID	3.2.1.4",57419405
"408","A3DCI2","ID	1.1.1.1|ID	1.2.1.10",57419243
"409","A3DEX4","ID	3.2.1.55",57418442
"410","A3DHM7","ID	2.4.2.8",57420356
"411","A3DHT2","ID	3.5.5.1",57420408
"412","A3DIL8","ID	5.3.1.6",57417637
"413","A3DJS9","ID	3.2.1.136|ID	3.2.1.8",57418016
"414","A3DJY0","ID	3.1.1.72",57418063
"415","A3DL26","ID	2.4.99.18",4906755
"416","A3DM60","ID	3.2.1.133",4907747
"417","A3EYB3","ID	2.7.1.2",100037406
"418","A3FQA5","ID	2.5.1.46",3373666
"419","A3GF07","ID	1.1.1.184",4850856
"420","A3GHL4","ID	1.1.1.2",4851763
"421","A3GHR6","ID	1.1.1.2",4851815
"422","A3KCL7","ID	1.4.3.1",100037287
"423","A3KN98","ID	1.13.11.63|ID	1.13.11.71",315644
"424","A3LXL4","ID	3.5.5.1",4840390
"425","A3LY17","ID	3.2.1.131|ID	3.2.1.139",4839791
"426","A3LZU6","ID	4.2.1.90",4841050
"427","A3NS93","ID	1.15.1.1",56594744
"428","A3QQQ9","ID	2.7.11.1",71099
"429","A3QYW3","ID	3.5.5.1",103865089
"430","A3RK76","ID	1.1.1.219",107803097
"431","A3RM03","ID	2.5.1.47",100101865
"432","A3RM04","ID	2.5.1.47",100101866
"433","A3RM05","ID	2.5.1.47",100101867
"434","A3RM06","ID	2.5.1.47",100101909
"435","A3UR44","ID	4.2.2.11",61785235
"436","A4D126","ID	2.7.7.40",729920
"437","A4FVP2","ID	4.2.3.106|ID	4.2.3.46",827377
"438","A4FWA0","ID	2.4.99.18",4927862
"439","A4FXX8","ID	1.2.7.6",4928887
"440","A4GK73","ID	1.14.19.29",107798633
"441","A4GTP3","ID	2.3.1.1",100048960
"442","A4H2J0","ID	2.7.1.158",102577926
"443","A4H3W5","ID	4.3.2.2",5412684
"444","A4H4P8","ID	1.5.1.3|ID	2.1.1.45",4961148
"445","A4H7X3","ID	3.6.1.5",5413969
"446","A4H8W8","ID	4.2.1.22",5414321
"447","A4H990","ID	2.7.7.1",5414445
"448","A4H9Q9","ID	3.2.2.8",5414620
"449","A4HCP1","ID	1.5.1.33",5415676
"450","A4HCW0","ID	3.2.1.26",5415745
"451","A4HPM6","ID	2.5.1.47",5419977
"452","A4HS53","ID	2.5.1.16",5066348
"453","A4HSF7","ID	1.8.1.12",5066544
"454","A4HUF6","ID	3.4.24.36",5067075
"455","A4HUF9","ID	3.4.24.36",5067052
"456","A4HUG0","ID	3.4.24.36",5067053
"457","A4HWA0","ID	3.6.1.5",5067729
"458","A4HWA6","ID	3.4.25.2",5067735
"459","A4I048","ID	2.7.7.13",5069112
"460","A4I066","ID	6.3.4.5",5069130
"461","A4I067","ID	1.5.1.33",5069131
"462","A4I1T8","ID	6.3.1.8",5069715
"463","A4I213","ID	6.3.5.4",5069795
"464","A4I2Z3","ID	6.3.1.9",5070138
"465","A4I3S4","ID	5.3.1.6",5070424
"466","A4I6I1","ID	7.4.2.1",5071399
"467","A4IFH1","ID	2.4.1.69",281174
"468","A4KAG8","ID	4.2.3.103",4329729
"469","A4LAG9","ID	2.5.1.18",100233042
"470","A4PIS8","ID	3.2.1.68",18639596
"471","A4PIS9","ID	3.2.1.68",18641451
"472","A4PIT0","ID	3.2.1.68",18619008
"473","A4Q9R7","ID	3.8.1.5",45425806
"474","A4QEK4","ID	1.1.1.25",58309186
"475","A4QFE0","ID	3.1.26.3",58308756
"476","A4QUT2","ID	1.11.1.21",2680833
"477","A4R5S9","ID	1.11.1.21",2677580
"478","A4RQJ7","ID	1.14.19.31",4999468
"479","A4RT23","ID	2.3.1.15",5000268
"480","A4SBK5","ID	1.1.1.41",5006938
"481","A4SVB6","ID	6.3.4.14",31480559
"482","A4X3Q0","ID	2.5.1.94",5057472
"483","A4X747","ID	6.3.1.19",5058710
"484","A4YDR9","ID	6.2.1.40 ()",5103637
"485","A4YDR9","ID	6.2.1.40 ()",59456160
"486","A4YDT1","ID	6.2.1.40 ()",5105523
"487","A4YDT1","ID	6.2.1.40 ()",59456144
"488","A4YEG2","ID	5.1.99.1",5103799
"489","A4YEG2","ID	5.1.99.1",59455907
"490","A4YEH9","ID	2.3.1.9",5103816
"491","A4YEH9","ID	2.3.1.9",59455890
"492","A4YFE8","ID	3.6.1.11",5104531
"493","A4YFE8","ID	3.6.1.11",59455551
"494","A4YG49","ID	1.16.1.1",5104156
"495","A4YG49","ID	1.16.1.1",59455254
"496","A4YGC7","ID	4.2.1.120",5104572
"497","A4YGC7","ID	4.2.1.120",59457572
"498","A4YGF9","ID	6.2.1.40 ()",5103412
"499","A4YGF9","ID	6.2.1.40 ()",59457542
"500","A4YGN2","ID	1.3.1.84",5104797
"501","A4YGN2","ID	1.3.1.84",59457466
"502","A4YGX6","ID	2.3.3.16",5104050
"503","A4YGX6","ID	2.3.3.16",59457368
"504","A4YHQ7","ID	2.4.99.18",5105368
"505","A4YI81","ID	1.1.1.298",5103380
"506","A4YI81","ID	1.1.1.298",59456873
"507","A4YI89","ID	4.2.1.116",5103388
"508","A4YI89","ID	4.2.1.116",59456864
"509","A4ZF98","ID	3.6.1.23",5246928
"510","A4ZYQ6","ID	1.14.17.4",100125909
"511","A5A6S1","ID	1.14.11.4",100101241
