"Accession","pvalue","for_change","Type","Values"
"Q9JHU4",0.686798482341725,-0.0333333333333333,"BALB.cJ_300",-0.26
"P00493",0.000216756613476324,0.213333333333333,"BALB.cJ_300",0.12
"I1E4X1",0.164743806824794,-0.3,"BALB.cJ_300",-0.58
"Q8R1I1",0.056909677479595,0.283333333333333,"BALB.cJ_300",0.44
"Q61635",0.0672764761665356,-0.33,"BALB.cJ_300",-0.88
"P70699",0.898077631097615,-0.0266666666666667,"BALB.cJ_300",-0.09
"P58252",0.917628037065997,-0.00333333333333334,"BALB.cJ_300",0.06
"O88531",0.133829042838509,-0.446666666666667,"BALB.cJ_300",0.12
"Q8VCR2-2",0.00118458414574419,3.14,"BALB.cJ_300",0.28
"Q9CQE8",0.0333773727631584,0.116666666666667,"BALB.cJ_300",0.11
"P03888",0.0386307019800908,0.443333333333333,"BALB.cJ_300",0.35
"Q6GQS1",0.248905984491284,0.246666666666667,"BALB.cJ_300",0.4
"Q8BU33",0.705899933221319,0.11,"BALB.cJ_300",0.06
"Q9CR86",0.00747260466471053,-0.44,"BALB.cJ_300",-0.22
"Q9R013",0.633770285136339,-0.14,"BALB.cJ_300",0.14
"P49586",0.468949500078052,-0.153333333333333,"BALB.cJ_300",-0.16
"P14206",0.456029779056377,-0.14,"BALB.cJ_300",-0.32
"Q8R317-2",0.840115845246719,-0.0666666666666667,"BALB.cJ_300",0.41
"Q7TMM9",0.0598442175053851,-0.473333333333333,"BALB.cJ_300",-0.11
"Q8BH69",0.827271186318191,0.0266666666666667,"BALB.cJ_300",0.11
"Q91VA0",0.179867803539812,-0.14,"BALB.cJ_300",-0.2
"A0A1B0GSU0",0.0116008505049044,-0.423333333333333,"BALB.cJ_300",-0.23
"P35700",0.0417941448241469,0.426666666666667,"BALB.cJ_300",0.4
"Q9R0P5",0.0981439912922393,-0.11,"BALB.cJ_300",-0.17
"Q9DBG5",0.0389236790489485,0.293333333333333,"BALB.cJ_300",0.03
"Q9D0M3",0.123383849444706,-0.123333333333333,"BALB.cJ_300",0.04
"Q99KK7",0.0404803452829084,-0.266666666666667,"BALB.cJ_300",-0.15
"Q99KB8",0.00176114768597899,-0.153333333333333,"BALB.cJ_300",-0.41
"Q9CX56",0.960425899984649,-0.00666666666666667,"BALB.cJ_300",-0.07
"Q9DCU6",0.234550023240722,0.13,"BALB.cJ_300",0.03
"Q6P5F9",0.0781924050942985,-0.316666666666667,"BALB.cJ_300",-0.25
"Q9R1J0",0.175921673435042,-0.523333333333333,"BALB.cJ_300",-1.14
"Q91VH2",0.169719606595927,-0.176666666666667,"BALB.cJ_300",-0.31
"Q01853",0.0313019250370067,0.21,"BALB.cJ_300",0.08
"Q5SWU9-2",0.342019069288755,-0.136666666666667,"BALB.cJ_300",0.03
"Q91ZV0",0.34776108659361,0.1,"BALB.cJ_300",-0.07
"P23116",0.26308735708664,-0.12,"BALB.cJ_300",0.03
"Q9CQQ7",0.00261443987445601,-0.28,"BALB.cJ_300",-0.17
"Q6P4T2",0.565564029796663,0.0666666666666667,"BALB.cJ_300",0.04
"Q91YD9",0.471376484479773,0.376666666666667,"BALB.cJ_300",-0.46
"P55302",0.435894504942781,0.0733333333333333,"BALB.cJ_300",-0.03
"Q61586",0.0481853655145468,0.19,"BALB.cJ_300",0.18
"Q07076",0.0173396054435829,0.31,"BALB.cJ_300",0.04
"P26041",0.055435529620464,0.25,"BALB.cJ_300",0.24
"P68510",0.824754828197524,0.01,"BALB.cJ_300",-0.05
"O08553",0.290099013896114,0.0866666666666667,"BALB.cJ_300",0.04
"P11031",0.700839757031557,-0.0666666666666667,"BALB.cJ_300",0.18
"Q8K0C4",0.00276408289317819,-0.893333333333333,"BALB.cJ_300",-0.74
"P56654",0.0933100961208528,-0.926666666666667,"BALB.cJ_300",-2.6
"Q9CQH7",0.128027529387321,0.136666666666667,"BALB.cJ_300",-0.03
"E9QMK9",0.897797789993463,0.0166666666666667,"BALB.cJ_300",-0.46
"Q61133",0.181320969976145,-0.146666666666667,"BALB.cJ_300",-0.61
"O08601",0.977076119939211,-0.00333333333333335,"BALB.cJ_300",0.25
"Q60649",0.317662711836917,0.1,"BALB.cJ_300",-0.09
"Q80SW1",0.702836269562781,0.0533333333333333,"BALB.cJ_300",-0.09
"Q9Z1D1",0.287664600293187,-0.39,"BALB.cJ_300",0.03
"Q9D024-2",0.453180306226851,-0.123333333333333,"BALB.cJ_300",-0.07
"P09528",0.506809320600085,0.183333333333333,"BALB.cJ_300",0.78
"Q8BMP6",0.467059748528095,-0.373333333333333,"BALB.cJ_300",-0.01
"P0C0S6",0.982721629159882,-0.00333333333333333,"BALB.cJ_300",-0.21
"P70290",0.0339198737587426,0.68,"BALB.cJ_300",0.59
"O54724",0.619238165228012,-0.0733333333333333,"BALB.cJ_300",0.38
"P62320",0.387190068039805,-0.15,"BALB.cJ_300",0.13
"Q9CQL1",0.0375402357461627,0.35,"BALB.cJ_300",0.26
"B5X0G2",0.0595222178477868,-3.81,"BALB.cJ_300",-2.73
"A0A2I3BPG9",0.428563212062063,-0.0633333333333333,"BALB.cJ_300",0.03
"Q3UIU2",0.299505051488817,0.3,"BALB.cJ_300",-0.06
"P61922",0.933104253209171,0.00666666666666667,"BALB.cJ_300",0.03
"P00405",0.337220389304451,0.08,"BALB.cJ_300",-0.03
"P31809",0.00556596678544032,0.776666666666667,"BALB.cJ_300",0.24
"F8WIK0",0.517296796757122,-0.103333333333333,"BALB.cJ_300",0.53
"Q8VDN2",0.0866615675963743,0.103333333333333,"BALB.cJ_300",-0.03
"Q61768",0.513955238671197,0.0933333333333333,"BALB.cJ_300",-0.09
"A2ATU0",0.0826638247386045,-0.313333333333333,"BALB.cJ_300",1.38
"P14211",0.0456302330812269,0.22,"BALB.cJ_300",0.07
"Q9WTP7",0.112865478762165,-0.3,"BALB.cJ_300",-0.25
"B1AT82",0.220754593321424,0.11,"BALB.cJ_300",-0.09
"P46978",0.695318819492322,-0.0333333333333334,"BALB.cJ_300",0.09
"Q9DCX2",0.0140714445323459,-0.333333333333333,"BALB.cJ_300",-0.13
"Q9Z2U0",0.349018233744968,-0.1,"BALB.cJ_300",-0.21
"P97384",0.61497130454731,0.0566666666666667,"BALB.cJ_300",-0.14
"Q8C165",0.0466829472428517,0.38,"BALB.cJ_300",0.16
"P35486",0.0466022166681703,-0.323333333333333,"BALB.cJ_300",-0.33
"Q01730",0.121811568425048,0.146666666666667,"BALB.cJ_300",0.11
"P97300",0.407857553963921,0.0866666666666667,"BALB.cJ_300",0.1
"P08228",0.703169211743148,-0.06,"BALB.cJ_300",-0.28
"Q91XE4",0.651384426481593,0.03,"BALB.cJ_300",-0.13
"Q9DBA8",0.875019336308564,-0.02,"BALB.cJ_300",-0.13
"Q9DCM2",0.00024080529944036,0.406666666666667,"BALB.cJ_300",0.25
"Q3ULD5",0.0256987468276915,0.12,"BALB.cJ_300",0.01
"Q9D8N0",0.114774103631428,-0.0866666666666667,"BALB.cJ_300",0.03
"Q60737",0.109207455008948,0.22,"BALB.cJ_300",0.13
"Q61792",0.042878825383492,-0.143333333333333,"BALB.cJ_300",0.07
"Q99P27",0.00297842368709872,-0.333333333333333,"BALB.cJ_300",-0.03
"O70400",0.0148140966289511,1.12,"BALB.cJ_300",0.61
"Q9QXZ6",0.0843745210225965,-0.513333333333333,"BALB.cJ_300",-0.48
"Q8R3P0",0.0276621409413056,-0.433333333333333,"BALB.cJ_300",-0.85
"P70245",0.0399468870616376,-0.403333333333333,"BALB.cJ_300",-0.51
"Q8K0Z7",0.285680691833601,-0.31,"BALB.cJ_300",-0.35
"Q8BJ64",0.03715302922124,-0.333333333333333,"BALB.cJ_300",-0.47
"Q5XJF6",0.0177280011835536,-0.153333333333333,"BALB.cJ_300",-0.08
"Q9DBD0",0.198405576821264,0.3,"BALB.cJ_300",0.27
"Q08943",0.211644842998577,0.503333333333333,"BALB.cJ_300",0.06
"Q9CZN7-2",0.016981857296754,-0.293333333333333,"BALB.cJ_300",-0.72
"Q06890",0.699417311695654,-0.0533333333333333,"BALB.cJ_300",0.03
"Q8K4Z5",0.433200474603017,0.0833333333333333,"BALB.cJ_300",0.06
"P42227-3",0.284610200348366,-0.196666666666667,"BALB.cJ_300",-0.17
"Q8R0X7",0.202158800547562,0.846666666666667,"BALB.cJ_300",0.15
"Q9EQ20",0.288041882926258,0.06,"BALB.cJ_300",-0.07
"Q3TGU7",0.177796079133373,-0.16,"BALB.cJ_300",-0.34
"Q91YH5",0.522665338428913,0.0933333333333333,"BALB.cJ_300",-0.07
"Q78PY7",0.863501630016051,0.01,"BALB.cJ_300",-0.14
"E9PY39",0.389297612829237,0.62,"BALB.cJ_300",0.07
"Q60866",0.12237454095824,-0.236666666666667,"BALB.cJ_300",-0.22
"Q9JJW0",0.216952223315393,0.143333333333333,"BALB.cJ_300",0.69
"Q99P30",0.0399815317629221,-0.183333333333333,"BALB.cJ_300",0.23
"P51660",0.0536997537976566,0.25,"BALB.cJ_300",0.34
"O08705",0.193663679492353,-0.156666666666667,"BALB.cJ_300",0.03
"P61620",0.0868035865199129,-0.123333333333333,"BALB.cJ_300",0.09
"Q80X80",0.485234153469263,-0.123333333333333,"BALB.cJ_300",0.08
"D3Z2J6",0.148559263060953,0.283333333333333,"BALB.cJ_300",0.14
"Q8VCH0",0.712320707415757,-0.0666666666666667,"BALB.cJ_300",-0.22
"Q93092",0.187228453892566,0.216666666666667,"BALB.cJ_300",0.16
"Q9R233",0.000963950953337633,-0.643333333333333,"BALB.cJ_300",-0.08
"Q9D8E6",0.0680115900161424,-0.366666666666667,"BALB.cJ_300",-0.1
"Q91WK5",0.0102188672721141,0.64,"BALB.cJ_300",-0.36
"Q80XN0",0.0117212270945352,-0.613333333333333,"BALB.cJ_300",0.15
"O88587",0.753582441348525,-0.0333333333333333,"BALB.cJ_300",0.44
"Q8R238",0.502777436377223,0.0733333333333333,"BALB.cJ_300",-0.09
"Q9D8W5",0.102288696384257,0.166666666666667,"BALB.cJ_300",0.21
"P56959",0.0598077412832698,-0.216666666666667,"BALB.cJ_300",0.05
"E9PXX7",0.0739873381073223,-0.386666666666667,"BALB.cJ_300",-0.21
"P10649",0.104998451485603,0.266666666666667,"BALB.cJ_300",-0.21
"P61514",0.0693568292392852,-0.253333333333333,"BALB.cJ_300",-0.11
"P63030",0.226603353124522,-0.343333333333333,"BALB.cJ_300",-0.65
"Q9WV32",0.766597630360231,0.0266666666666667,"BALB.cJ_300",-0.07
"Q91WT8",0.193842162423099,-0.196666666666667,"BALB.cJ_300",-0.24
"Q8BJL9",0.00897774682186061,0.903333333333333,"BALB.cJ_300",0.42
"Q9JLV5",0.294792952879909,-0.12,"BALB.cJ_300",-0.39
"Q8JZQ2",0.484213399903524,0.166666666666667,"BALB.cJ_300",0.22
"Q9R111",0.692867279112325,0.0366666666666667,"BALB.cJ_300",-0.3
"Q91V77",0.0210823846201601,-0.53,"BALB.cJ_300",-0.55
"Q99PV0",0.0797029709651591,-0.386666666666667,"BALB.cJ_300",-0.25
"P21440",0.710420128840559,0.0533333333333333,"BALB.cJ_300",-0.17
"P46638",0.733375415116892,0.04,"BALB.cJ_300",0
"Q9CR16",0.436628472115408,-0.0666666666666667,"BALB.cJ_300",0.02
"Q9EQ06",0.385374807917,0.276666666666667,"BALB.cJ_300",0.43
"Q80VD1",0.614745894629043,0.0633333333333334,"BALB.cJ_300",-0.08
"P47753",0.871294646715989,0.0133333333333333,"BALB.cJ_300",0.17
"P52760",0.270438660084343,0.09,"BALB.cJ_300",-0.09
"P23591",0.828107619053759,0.09,"BALB.cJ_300",-0.12
